data,OLEO3,FUEL3
2021-06-30,5.8,4.5
2021-07-01,5.6,4.53
2021-07-02,5.65,4.68
2021-07-05,5.65,4.87
2021-07-06,5.86,4.72
2021-07-07,5.91,4.83
2021-07-08,5.8,4.78
2021-07-09,5.57,4.85
2021-07-12,5.66,4.97
2021-07-13,5.62,4.89
2021-07-14,5.61,4.78
2021-07-15,5.53,4.8
2021-07-16,5.26,4.79
2021-07-19,5.38,4.74
2021-07-20,5.45,4.82
2021-07-21,5.49,4.82
2021-07-22,5.58,4.92
2021-07-23,5.42,5.04
2021-07-26,5.69,4.97
2021-07-27,5.65,4.92
2021-07-28,5.7,5.0
2021-07-29,5.81,5.06
2021-07-30,5.42,5.11
2021-08-02,5.65,5.36
2021-08-03,5.67,5.64
2021-08-04,5.43,5.39
2021-08-05,5.39,5.43
2021-08-06,5.76,5.42
2021-08-09,5.73,5.29
2021-08-10,5.53,5.07
2021-08-11,5.51,4.76
2021-08-12,5.57,4.74
2021-08-13,5.49,4.7
2021-08-16,5.41,4.75
2021-08-17,5.57,4.73
2021-08-18,5.7,4.85
2021-08-19,5.7,5.03
2021-08-20,5.69,4.95
2021-08-23,5.72,4.88
2021-08-24,5.66,5.09
2021-08-25,5.67,4.98
2021-08-26,5.69,5.24
2021-08-27,5.91,5.58
2021-08-30,5.74,5.55
2021-08-31,5.88,5.58
2021-09-01,6.13,5.67
2021-09-02,6.0,5.47
2021-09-03,6.04,5.83
2021-09-06,6.08,5.48
2021-09-07,6.06,5.49
2021-09-08,5.99,5.44
2021-09-09,5.85,5.79
2021-09-10,5.53,5.82
2021-09-13,5.61,5.59
2021-09-14,5.16,5.69
2021-09-15,5.23,5.76
2021-09-16,5.35,6.0
2021-09-17,5.22,5.71
2021-09-20,5.3,5.89
2021-09-21,5.4,6.1
2021-09-22,5.5,6.0
2021-09-23,5.44,5.85
2021-09-24,5.49,5.75
2021-09-27,5.53,5.95
2021-09-28,5.42,6.11
2021-09-29,5.35,6.04
2021-09-30,5.44,6.22
2021-10-01,5.38,6.47
2021-10-04,5.44,6.43
2021-10-05,5.46,6.67
2021-10-06,5.43,6.61
2021-10-07,5.45,6.55
2021-10-08,5.5,6.54
2021-10-11,5.52,6.62
2021-10-12,5.55,6.22
2021-10-13,5.65,6.04
2021-10-14,5.63,5.63
2021-10-15,5.66,5.75
2021-10-18,5.64,5.97
2021-10-19,5.71,6.25
2021-10-20,5.69,5.89
2021-10-21,5.8,5.91
2021-10-22,5.97,5.72
2021-10-25,5.77,5.49
2021-10-26,5.97,5.41
2021-10-27,6.16,5.21
2021-10-28,6.04,5.54
2021-10-29,6.41,5.3
2021-11-01,6.46,5.16
2021-11-02,6.55,5.14
2021-11-03,6.83,5.16
2021-11-04,6.73,5.17
2021-11-05,6.55,4.99
2021-11-08,6.51,5.04
2021-11-09,6.54,5.09
2021-11-10,6.61,5.2
2021-11-11,6.73,5.18
2021-11-12,7.03,5.34
2021-11-15,6.9,5.12
2021-11-16,6.7,5.33
2021-11-17,6.75,5.47
2021-11-18,6.76,5.54
2021-11-19,6.75,5.62
2021-11-22,6.53,5.8
2021-11-23,6.64,5.95
2021-11-24,6.76,5.78
2021-11-25,6.72,5.98
2021-11-26,7.18,6.03
2021-11-29,6.97,6.25
2021-11-30,7.16,6.34
2021-12-01,7.06,6.16
2021-12-02,6.91,5.97
2021-12-03,6.72,6.06
2021-12-06,6.9,6.27
2021-12-07,6.8,6.0
2021-12-08,6.72,5.95
2021-12-09,6.66,6.15
2021-12-10,6.74,6.09
2021-12-13,6.94,6.43
2021-12-14,7.01,6.57
2021-12-15,7.24,6.82
2021-12-16,7.5,6.69
2021-12-17,7.43,7.07
2021-12-20,7.51,7.25
2021-12-21,7.69,7.35
2021-12-22,7.86,7.54
2021-12-23,7.9,7.63
2021-12-24,8.23,7.97
2021-12-27,8.2,7.97
2021-12-28,8.18,7.94
2021-12-29,8.28,7.92
2021-12-30,8.27,8.01
2021-12-31,7.91,8.07
2022-01-03,8.14,8.27
2022-01-04,7.97,8.27
2022-01-05,7.88,8.44
2022-01-06,7.83,8.43
2022-01-07,8.0,9.11
2022-01-10,7.59,9.28
2022-01-11,7.34,9.66
2022-01-12,7.79,9.18
2022-01-13,8.07,8.99
2022-01-14,8.43,8.94
2022-01-17,8.39,8.72
2022-01-18,8.66,8.15
2022-01-19,8.63,8.05
2022-01-20,8.55,8.43
2022-01-21,8.18,8.54
2022-01-24,8.17,8.67
2022-01-25,8.13,8.93
2022-01-26,7.69,8.86
2022-01-27,7.52,9.17
2022-01-28,7.48,9.19
2022-01-31,7.27,9.37
2022-02-01,7.42,9.08
2022-02-02,7.37,9.09
2022-02-03,7.44,9.19
2022-02-04,7.67,8.98
2022-02-07,7.76,8.69
2022-02-08,7.5,8.26
2022-02-09,7.64,8.35
2022-02-10,7.54,8.4
2022-02-11,7.24,8.62
2022-02-14,7.22,8.76
2022-02-15,7.31,9.26
2022-02-16,7.39,9.34
2022-02-17,7.1,9.57
2022-02-18,7.12,9.67
2022-02-21,7.31,9.7
2022-02-22,7.2,9.56
2022-02-23,7.21,9.73
2022-02-24,7.24,9.74
2022-02-25,7.28,9.43
2022-02-28,7.5,9.47
2022-03-01,7.54,9.16
2022-03-02,7.3,9.2
2022-03-03,7.12,9.5
2022-03-04,7.18,9.7
2022-03-07,6.83,9.3
2022-03-08,6.84,8.88
2022-03-09,6.87,8.22
2022-03-10,6.97,8.12
2022-03-11,6.91,8.11
2022-03-14,6.93,7.65
2022-03-15,6.81,7.49
2022-03-16,6.69,7.09
2022-03-17,6.86,6.94
2022-03-18,6.77,7.17
2022-03-21,6.84,7.19
2022-03-22,7.05,7.53
2022-03-23,7.35,7.67
2022-03-24,7.63,7.56
2022-03-25,7.53,7.9
2022-03-28,7.25,8.1
2022-03-29,7.21,7.67
2022-03-30,7.13,7.58
2022-03-31,7.13,7.4
2022-04-01,7.09,7.34
2022-04-04,7.08,7.4
2022-04-05,6.76,7.64
2022-04-06,6.83,7.7
2022-04-07,7.16,7.62
2022-04-08,7.49,7.81
2022-04-11,7.62,7.73
2022-04-12,7.76,7.87
2022-04-13,7.62,7.81
2022-04-14,7.55,8.1
2022-04-15,7.98,8.11
2022-04-18,8.06,7.96
2022-04-19,8.33,7.65
2022-04-20,8.37,7.67
2022-04-21,8.5,7.55
2022-04-22,8.69,7.85
2022-04-25,8.85,7.99
2022-04-26,8.62,8.04
2022-04-27,8.59,7.95
2022-04-28,9.07,8.09
2022-04-29,9.08,7.84
